"Story","Title","Result","Date","Stability","Duration (s)"
"As user i want to register","as a user I want to register valid all data","SUCCESS","2022-06-19T10:32:07.1467244+07:00[Asia/Jakarta]","0.0","12.14"
"As user i want to register","as a user I want to register with already exists data","SUCCESS","2022-06-19T10:32:19.3198247+07:00[Asia/Jakarta]","0.0","2.52"
"As user i want to register","as a user I want to register valid data with invalid endpoint","SUCCESS","2022-06-19T10:32:21.8510024+07:00[Asia/Jakarta]","0.0","1.53"
"As user i want to register","as a user I want to register valid data with invalid method","SUCCESS","2022-06-19T10:32:23.3978244+07:00[Asia/Jakarta]","0.0","2.48"
"As user i want to register","as a user I want to register valid data without set value API-Key","SUCCESS","2022-06-19T10:32:25.9084047+07:00[Asia/Jakarta]","0.0","1.5"
"As user i want to register","as a user I want to register valid data with one empty data","SUCCESS","2022-06-19T10:32:27.4239836+07:00[Asia/Jakarta]","0.0","2.62"
"As user i want to register","as a user I want to register valid data with data username and email already exists","SUCCESS","2022-06-19T10:32:30.0801545+07:00[Asia/Jakarta]","0.0","2.31"
"As user i want to register","as a user I want to register invalid email (without @)","SUCCESS","2022-06-19T10:32:32.4104885+07:00[Asia/Jakarta]","0.0","2.42"
"As user i want to register","as a user I want to register invalid username with spacebar","SUCCESS","2022-06-19T10:32:34.8479134+07:00[Asia/Jakarta]","0.0","2.52"
"As user i want to register","as a user I want to register invalid username with capital letters","SUCCESS","2022-06-19T10:32:37.3790857+07:00[Asia/Jakarta]","0.0","2.52"
